"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7542","User registration test @master @sanity @regression","chromium","2026-04-05","passed","2026-04-05","","AccountRegistration.spec.ts","",""
"","3469","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-04-05","passed","2026-04-05","","LoginDataDriven.spec.ts","",""
"","3438","User login test @master @sanity @regression","chromium","2026-04-05","passed","2026-04-05","","Login.spec.ts","",""
"","3722","Login Test with CSV Data: Valid login @datadriven","chromium","2026-04-05","passed","2026-04-05","","LoginDataDriven.spec.ts","",""
"","11488","execute end-to-end test flow @end-to-end","chromium","2026-04-05","passed","2026-04-05","","EndToEndTest.spec.ts","",""
"","2514","Product search test @master @regression","chromium","2026-04-05","passed","2026-04-05","","SearchProduct.spec.ts","",""
"","3675","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-04-05","passed","2026-04-05","","LoginDataDriven.spec.ts","",""
"","4591","User logout test @master @regression","chromium","2026-04-05","passed","2026-04-05","","Logout.spec.ts","",""
"","3311","Add product to cart test @master @regression","chromium","2026-04-05","passed","2026-04-05","","AddToCart.spec.ts","",""
"","3911","Login Test with JSON Data: Valid login @datadriven","chromium","2026-04-05","passed","2026-04-05","","LoginDataDriven.spec.ts","",""
